序号,品牌,判定,价格虚高风险,原因,数据来源
27,Svecymikov,疑似假洋牌,高,"斯拉夫风格生造名,无任何母国footprint,高度疑似",已联网核验
28,BLANCO,真洋牌,低-中,"德国水槽百年品牌,母国真实",已联网核验
29,BIOBLAS,真洋牌,低-中,"土耳其洗发水品牌,母国生产,真实",已联网核验
30,"TOMMY TRUCKER,KLWP",存疑,低,"多品牌组合,主品牌查无母国信息,需核实",已联网核验
31,Beyoğlu Chocolate,真洋牌,低-中,"土耳其巧克力,母国渊源真实",已联网核验
32,Hoxuntu,疑似假洋牌,高,"生造名,无母国footprint,高度疑似",已联网核验
33,三丽鸥（SANRIO）,真洋牌,低-中,"日本Hello Kitty母公司,母国真实",已联网核验
34,"CKQ,SilkCarda",存疑,低,"多品牌组合,主体不明,需核实",已联网核验
35,RUVWOZS,疑似假洋牌,高,"无元音随机字母名,无母国footprint,高度疑似",已联网核验
36,AUINONE,疑似假洋牌,高,"澳洲新注册PTY,中式营销名""1.88M"",典型海外空壳套牌",已联网核验
37,OMIE,真洋牌,低-中,"美国母婴餐盒品牌,母国实体真实(中国代工)",已联网核验
38,莱家（LOACKER）,真洋牌,低-中,"意大利威化百年品牌,母国真实",已联网核验
39,SPRING SHEEP,真洋牌,低-中,"新西兰羊奶,母国农场+工厂,真实",已联网核验
40,丝塔芙,真洋牌,低-中,"国际知名医学护肤,母国真实",已联网核验
41,吉百利（Cadbury）,真洋牌,低-中,"英国百年巧克力,母国真实",已联网核验
42,水晶番茄（CRYSTAL TOMATO）,真洋牌,低-中,"新加坡美白品牌,全球3000+诊所,真实",已联网核验
43,RESONAC,真洋牌,低-中,"日本化工巨头,母国真实",已联网核验
44,LISM,存疑,低,"宣称日系但缺母国实体佐证,需核实",已联网核验
45,Skin Technology,存疑,低,"通用名,多家同名,需确认具体主体",已联网核验
46,Nestle,真洋牌,低-中,"瑞士食品巨头,母国真实",已联网核验
47,潇洒（SELSUN）,真洋牌,低-中,"国际去屑品牌,母国真实",已联网核验
48,"菊正宗,鸟海誉",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
49,BIOXCIN,真洋牌,低-中,"土耳其防脱发市场领导,母国真实",已联网核验
50,CIGGI,存疑,低,"无母国footprint,需核实",已联网核验
51,Tillagello,疑似假洋牌,高,"意式风格生造名,无母国footprint,高度疑似",已联网核验
52,"美香,LOTUS RICE Flavour of Vietnam",真洋牌,低-中,"越南湄公河大米品牌,出口60国,母国真实",已联网核验
53,GINSSEN,疑似假洋牌,高,"仿ginseng生造名,无母国footprint,高度疑似",已联网核验
54,MAGIOPY,疑似假洋牌,高,"商标注册人为华人,生造名,典型套牌",已联网核验
55,CHARM野性魅力,待核验(中英混合),待核验,"中英混合,通常为真品牌,需逐个搜索",规则推断·未核验
56,"羅刹海,梅竹籣",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
57,"贺寿利（Healtheries）,Diploma",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
58,AYMDLY,疑似假洋牌,高,"查无母国信息,疑似数据错误或假洋牌",已联网核验
59,FREE EYES,待核验(英文名),待核验,"英文名,需联网核验",规则推断·未核验
60,LITTLE GIANT,真洋牌,低-中,"美国老牌制造,母国真实",已联网核验
61,"斯高堡SKOTTSBERG,格兰凯恩（GLENCAIRN）",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
62,ONEDEW,待核验(英文名),待核验,"英文名,需联网核验",规则推断·未核验
63,beaf,待核验(英文名),待核验,"英文名,需联网核验",规则推断·未核验
64,CMD Naturkosmetik,待核验(英文名),待核验,"英文名,需联网核验",规则推断·未核验
65,Aki Lab,存疑,低,"多家同名品牌,需确认具体主体",已联网核验
66,雾湾（MISTY COVE）,待核验(中英混合),待核验,"中英混合,通常为真品牌,需逐个搜索",规则推断·未核验
67,Caotina,真洋牌,低-中,"瑞士巧克力饮品,母国真实",已联网核验
68,GINGKE,疑似假洋牌,高,"中国保健品用洋化名,无海外母国背景",已联网核验
69,VITALIFE,真洋牌,低-中,"澳洲保健品集团品牌,母国真实(同名多家需注意)",已联网核验
70,WHITTARD,待核验(英文名),待核验,"英文名,需联网核验",规则推断·未核验
71,惠康,真洋牌,低-中,"香港老牌超市,非伪洋,港资真实",已联网核验
72,Little Remedies,真洋牌,低-中,"美国母婴护理品牌,母国真实",已联网核验
73,轩尼诗Hennessy,待核验(中英混合),待核验,"中英混合,通常为真品牌,需逐个搜索",规则推断·未核验
74,BLUE LAKE MILLING,真洋牌,低-中,"澳洲燕麦谷物厂,母国真实",已联网核验
75,BRAHMAPRATHAN,待核验(英文名),待核验,"英文名,需联网核验",规则推断·未核验
76,Crusty's,真洋牌,低-中,"新加坡创新零食品牌,母国真实",已联网核验
77,"田岛硝子,格兰凯恩（GLENCAIRN）",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
78,BOWO,待核验(英文名),待核验,"英文名,需联网核验",规则推断·未核验
79,Restorex,真洋牌,低-中,"美国医疗器械,母国真实",已联网核验
80,Durrell,存疑,低,"同名多,需确认具体商品主体",已联网核验
81,BENOSTAN NATURE'S TREATMENT,待核验(英文名),待核验,"英文名,需联网核验",规则推断·未核验
82,MALORY,真洋牌,低-中,"澳洲品牌,母国真实(同名多家需注意)",已联网核验
83,"GABRIEL-GLAS,SAINT-LOUIS",真洋牌,低-中,"奥地利水晶酒杯,母国真实",已联网核验
84,MeeSend,疑似假洋牌,高,"查无母国背景,需查商标",已联网核验
85,老瑤薑,非假洋牌(国产),极低,"纯中文品牌,不属假洋牌范畴",已联网核验
86,FVRYD,疑似假洋牌,高,"无元音生造名,查无母国背景,高度疑似",已联网核验
87,奥纯冠（Nature One Dairy）,真洋牌(中国市场定制),低-中,"澳洲注册+本土生产属实,专为中国市场打造,血统真实",已联网核验
88,东鹏 东鹏饮料,非假洋牌(国产),极低,"知名国产品牌,不属假洋牌",已联网核验
89,Liperson,疑似假洋牌,高,"查无母国背景,需查商标",已联网核验
90,快乐一爪,非假洋牌(国产),极低,"纯中文品牌,不属假洋牌",已联网核验
91,"沃尔克斯（Walkers）,Waitrose",真洋牌,低-中,"苏格兰百年酥饼+英国Waitrose,母国真实",已联网核验
92,本叮叮,非假洋牌(国产),极低,"纯中文品牌,不属假洋牌",已联网核验
93,Ausiki,真洋牌(中国市场定制),低-中,"澳洲注册+本土奶源属实,主供中国市场,血统真实",已联网核验
94,植护,非假洋牌(国产),极低,"纯中文品牌,不属假洋牌",已联网核验
95,"Westmalle TRAPPIST,修道院（La Trappe）",真洋牌,低-中,"正宗修道院啤酒,母国真实",已联网核验
96,ahuhu,真洋牌,低-中,"德国有机洗护,母国真实",已联网核验
97,丽康丝（NIOXIN）,真洋牌,低-中,"美国防脱护发,母国真实",已联网核验
98,AF 1870 SINCE 1870 ANTONIO FACCHIN,真洋牌,低-中,"意大利百年酒庄,母国真实",已联网核验
99,"费登斯,击倒巨人",非假洋牌(国产),极低,"中文品牌,不属假洋牌",已联网核验
100,ProNuCare,真洋牌,低-中,"美国保健品,母国实体真实",已联网核验
101,KESH KING,真洋牌,低-中,"印度阿育吠陀护发,母国真实",已联网核验
102,BRETT JOHNSON,真洋牌,低-中,"美国设计意大利制造奢侈男装,母国真实",已联网核验
103,ANNAMAET,真洋牌,低-中,"美国家族宠物食品,母国真实",已联网核验
104,TO-PLAN,存疑,低,"疑为日本东京企划,但缺直接佐证,需核实",已联网核验
105,AZ-GRANATA,真洋牌,低-中,"阿塞拜疆果汁酒水,Made in Azerbaijan,母国真实",已联网核验
106,NOSSKISS,存疑,低,"近似NOSSK美国商标但拼写不符,需核实",已联网核验
107,DEAURORA,真洋牌,低-中,"澳洲沉香护肤,母国生产真实",已联网核验
108,REPLENIX,真洋牌,低-中,"美国皮肤科护肤,母国真实",已联网核验
109,"四万十川,黑牛（heiniu）",存疑,低,"多品牌混合,需拆分核实",已联网核验
110,SOFFELL,真洋牌,低-中,"印尼第一驱蚊液,母国真实",已联网核验
111,耶馬美人,非假洋牌(国产),低,需进一步核实,规则推断·未核验
112,旭福益节,非假洋牌(国产),低,需进一步核实,规则推断·未核验
113,Amerpin,待核验(英文名),待核验,"英文名,需联网核验",规则推断·未核验
114,SAKURAIM,待核验(英文名),待核验,"英文名,需联网核验",规则推断·未核验
115,Diploma,待核验(英文名),待核验,"英文名,需联网核验",规则推断·未核验
116,旧街场（OLDTOWN）,待核验(中英混合),待核验,"中英混合,通常为真品牌,需逐个搜索",规则推断·未核验
117,MOEDU,待核验(英文名),待核验,"英文名,需联网核验",规则推断·未核验
118,SCARLYSE,待核验(英文名),待核验,"英文名,需联网核验",规则推断·未核验
119,Rodipet,待核验(英文名),待核验,"英文名,需联网核验",规则推断·未核验
120,银座美健（Ginza·BK）,待核验(中英混合),待核验,"中英混合,通常为真品牌,需逐个搜索",规则推断·未核验
121,"济众堂,HANWOOD",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
122,Castus,待核验(英文名),待核验,"英文名,需联网核验",规则推断·未核验
123,AwaRua,待核验(英文名),待核验,"英文名,需联网核验",规则推断·未核验
124,壹品（EAPING）,待核验(中英混合),待核验,"中英混合,通常为真品牌,需逐个搜索",规则推断·未核验
125,ostte,待核验(英文名),待核验,"英文名,需联网核验",规则推断·未核验
126,MAEHUE,待核验(英文名),待核验,"英文名,需联网核验",规则推断·未核验
127,卧佛,非假洋牌(国产),低,需进一步核实,规则推断·未核验
128,PALMARAE,待核验(英文名),待核验,"英文名,需联网核验",规则推断·未核验
129,奢驰路易（SECHILOUIS）,待核验(中英混合),待核验,"中英混合,通常为真品牌,需逐个搜索",规则推断·未核验
130,Orukis,待核验(英文名),待核验,"英文名,需联网核验",规则推断·未核验
131,"樱正宗,菊姫",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
132,盟利,非假洋牌(国产),低,需进一步核实,规则推断·未核验
133,布琅兄弟酒庄（Brown Brothers）,待核验(中英混合),待核验,"中英混合,通常为真品牌,需逐个搜索",规则推断·未核验
134,"Sashas,克劳德医生（Dr.Clauder′s）",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
135,康如（KLORANE）,待核验(中英混合),待核验,"中英混合,通常为真品牌,需逐个搜索",规则推断·未核验
136,LoveLiner,待核验(英文名),待核验,"英文名,需联网核验",规则推断·未核验
137,LITTLEOAK,待核验(英文名),待核验,"英文名,需联网核验",规则推断·未核验
138,NATURE ONE DAIRY,待核验(英文名),待核验,"英文名,需联网核验",规则推断·未核验
139,Daerlucky,待核验(英文名),待核验,"英文名,需联网核验",规则推断·未核验
140,ベイビーサポート（Baby Support）,待核验(英文名),待核验,"英文名,需联网核验",规则推断·未核验
141,"RapidBrow,RAPIDHAIR",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
142,Three-Tree,待核验(英文名),待核验,"英文名,需联网核验",规则推断·未核验
143,"Arla,宝贝与我（Arla）",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
144,KARLSSON,待核验(英文名),待核验,"英文名,需联网核验",规则推断·未核验
145,"Dr.Dominic,太田胃散",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
146,爱薇牛（jersey）,待核验(中英混合),待核验,"中英混合,通常为真品牌,需逐个搜索",规则推断·未核验
147,Dulce Vida,待核验(英文名),待核验,"英文名,需联网核验",规则推断·未核验
148,GLORIPETGO,待核验(英文名),待核验,"英文名,需联网核验",规则推断·未核验
149,"3泉（3 Fonteinen）,Liefmans",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
150,坤格（Kronsegler）,待核验(中英混合),待核验,"中英混合,通常为真品牌,需逐个搜索",规则推断·未核验
151,Camelstory,待核验(英文名),待核验,"英文名,需联网核验",规则推断·未核验
152,PEIVOB,待核验(英文名),待核验,"英文名,需联网核验",规则推断·未核验
153,"二宝（Nimm2）,yumearth",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
154,NATIVE HARVEST,待核验(英文名),待核验,"英文名,需联网核验",规则推断·未核验
155,拉菲罗斯柴尔德男爵酒业,非假洋牌(国产),低,需进一步核实,规则推断·未核验
156,三橡树,非假洋牌(国产),低,需进一步核实,规则推断·未核验
157,VDJ,疑似假洋牌(无元音),高,"无元音字母,高风险生造名",规则推断·未核验
158,Damebb,待核验(英文名),待核验,"英文名,需联网核验",规则推断·未核验
159,STADA (史达德),待核验(中英混合),待核验,"中英混合,通常为真品牌,需逐个搜索",规则推断·未核验
160,"Horizon Organic,SILK",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
161,ausiki,待核验(英文名),待核验,"英文名,需联网核验",规则推断·未核验
162,comoace,待核验(英文名),待核验,"英文名,需联网核验",规则推断·未核验
163,"MAGIOPY,DENTONSZHE",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
164,蜜兰达（NZGOLDHEALTH）,待核验(中英混合),待核验,"中英混合,通常为真品牌,需逐个搜索",规则推断·未核验
165,Vivaland,待核验(英文名),待核验,"英文名,需联网核验",规则推断·未核验
166,高活コウカツ,非假洋牌(国产),低,需进一步核实,规则推断·未核验
167,Les sacs Adam,待核验(英文名),待核验,"英文名,需联网核验",规则推断·未核验
168,BRAGG,待核验(英文名),待核验,"英文名,需联网核验",规则推断·未核验
169,黑酢家,非假洋牌(国产),低,需进一步核实,规则推断·未核验
170,STEINBERG,待核验(英文名),待核验,"英文名,需联网核验",规则推断·未核验
171,Bebilon,待核验(英文名),待核验,"英文名,需联网核验",规则推断·未核验
172,MER BLEUE,待核验(英文名),待核验,"英文名,需联网核验",规则推断·未核验
173,"沃尔克斯（Walkers）,FAMILIE",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
174,TOMMY TRUCKER,待核验(英文名),待核验,"英文名,需联网核验",规则推断·未核验
175,lucas' papaw remedies,待核验(英文名),待核验,"英文名,需联网核验",规则推断·未核验
176,DVHNMK,疑似假洋牌,高,"查无母国信息,高度疑似假洋牌",已联网核验
177,FINK STUDIO,待核验(英文名),待核验,"英文名,需联网核验",规则推断·未核验
178,FRIIS-HOLM,待核验(英文名),待核验,"英文名,需联网核验",规则推断·未核验
179,握手,非假洋牌(国产),低,需进一步核实,规则推断·未核验
180,ThreeGeese,待核验(英文名),待核验,"英文名,需联网核验",规则推断·未核验
181,JIUJA,待核验(英文名),待核验,"英文名,需联网核验",规则推断·未核验
182,施密特世家（Schmitt Söhne）,待核验(中英混合),待核验,"中英混合,通常为真品牌,需逐个搜索",规则推断·未核验
183,doddL,待核验(英文名),待核验,"英文名,需联网核验",规则推断·未核验
184,么鳳士多（YIUFUNGSTORE）,待核验(中英混合),待核验,"中英混合,通常为真品牌,需逐个搜索",规则推断·未核验
185,法兹（FineSky）,待核验(中英混合),待核验,"中英混合,通常为真品牌,需逐个搜索",规则推断·未核验
186,Frontier Co-op,待核验(英文名),待核验,"英文名,需联网核验",规则推断·未核验
187,OLOEY,待核验(英文名),待核验,"英文名,需联网核验",规则推断·未核验
188,GREEN BELL,待核验(英文名),待核验,"英文名,需联网核验",规则推断·未核验
189,"MONTES,THE ORIENT",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
190,萬時發（M MAXLUCKY）,待核验(中英混合),待核验,"中英混合,通常为真品牌,需逐个搜索",规则推断·未核验
191,双莲（Twin Lotus）,待核验(中英混合),待核验,"中英混合,通常为真品牌,需逐个搜索",规则推断·未核验
192,KINGPOWER,待核验(英文名),待核验,"英文名,需联网核验",规则推断·未核验
193,"Ausiki,银座美健（Ginza·BK）",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
194,XJSGS,疑似假洋牌(无元音),高,"无元音字母,高风险生造名",规则推断·未核验
195,milbon,待核验(英文名),待核验,"英文名,需联网核验",规则推断·未核验
196,Lisozo,待核验(英文名),待核验,"英文名,需联网核验",规则推断·未核验
197,Austin,待核验(英文名),待核验,"英文名,需联网核验",规则推断·未核验
198,Yisop,待核验(英文名),待核验,"英文名,需联网核验",规则推断·未核验
199,TOME BKOWAIE,待核验(英文名),待核验,"英文名,需联网核验",规则推断·未核验
200,Sunsweet,待核验(英文名),待核验,"英文名,需联网核验",规则推断·未核验
201,"Misiones de Rengo,Riporta",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
202,Leypian,待核验(英文名),待核验,"英文名,需联网核验",规则推断·未核验
203,HOXTON,待核验(英文名),待核验,"英文名,需联网核验",规则推断·未核验
204,Vere Parker London,待核验(英文名),待核验,"英文名,需联网核验",规则推断·未核验
205,"POLO WEAR SPORT,POLO WEAR",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
206,POLO CLUB ENGLAND,待核验(英文名),待核验,"英文名,需联网核验",规则推断·未核验
207,Casira Kaviar,待核验(英文名),待核验,"英文名,需联网核验",规则推断·未核验
208,"LISM,LIIS",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
209,LIIS,待核验(英文名),待核验,"英文名,需联网核验",规则推断·未核验
210,Dudant,待核验(英文名),待核验,"英文名,需联网核验",规则推断·未核验
211,CALYPSO,待核验(英文名),待核验,"英文名,需联网核验",规则推断·未核验
212,Eres,待核验(英文名),待核验,"英文名,需联网核验",规则推断·未核验
213,oein,待核验(英文名),待核验,"英文名,需联网核验",规则推断·未核验
214,Wirpta,待核验(英文名),待核验,"英文名,需联网核验",规则推断·未核验
215,"Homesee,LIIS",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
216,TFNDATNH,疑似假洋牌,高,"查无母国信息,高度疑似假洋牌",已联网核验
217,WVD,疑似假洋牌(无元音),高,"无元音字母,高风险生造名",规则推断·未核验
218,SGJ,疑似假洋牌(无元音),高,"无元音字母,高风险生造名",规则推断·未核验
219,"TOMMY TRUCKER,MAGIOPY",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
220,"LISCN,LISM",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
221,Whynot,真洋牌,低-中,"意大利时尚品牌,母国真实",已联网核验
222,MNSMIN,真洋牌,低-中,"中国品牌但被误认为日本,母国公司真实",已联网核验
223,WELLS & CO,待核验(英文名),待核验,"英文名,需联网核验",规则推断·未核验
224,COVA,待核验(英文名),待核验,"英文名,需联网核验",规则推断·未核验
225,"LIIS,RUVWOZS",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
226,NOSOYO,待核验(英文名),待核验,"英文名,需联网核验",规则推断·未核验
227,Khwfjas,疑似假洋牌,高,"查无母国信息,高度疑似",已联网核验
228,AWACHI,待核验(英文名),待核验,"英文名,需联网核验",规则推断·未核验
229,NOBLE AURA,待核验(英文名),待核验,"英文名,需联网核验",规则推断·未核验
230,WOATI,待核验(英文名),待核验,"英文名,需联网核验",规则推断·未核验
231,Ebonka,待核验(英文名),待核验,"英文名,需联网核验",规则推断·未核验
232,"ONEDEW,SUNTTAUN",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
233,Bramim,待核验(英文名),待核验,"英文名,需联网核验",规则推断·未核验
234,LECEN,待核验(英文名),待核验,"英文名,需联网核验",规则推断·未核验
235,SXMM,疑似假洋牌(无元音),高,"无元音字母,高风险生造名",规则推断·未核验
236,"OLOEY,oein",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
237,"LISI,LISM",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
238,"NOSSKISS,Rewi",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
239,ANYSMIC,待核验(英文名),待核验,"英文名,需联网核验",规则推断·未核验
240,Thintime,待核验(英文名),待核验,"英文名,需联网核验",规则推断·未核验
241,OEMG,待核验(英文名),待核验,"英文名,需联网核验",规则推断·未核验
242,PAGKAVIO,待核验(英文名),待核验,"英文名,需联网核验",规则推断·未核验
243,AIOSC,待核验(英文名),待核验,"英文名,需联网核验",规则推断·未核验
244,LVLA,待核验(英文名),待核验,"英文名,需联网核验",规则推断·未核验
245,RSY,疑似假洋牌(无元音),高,"无元音字母,高风险生造名",规则推断·未核验
246,QQK,疑似假洋牌(无元音),高,"无元音字母,高风险生造名",规则推断·未核验
247,EUGENE & CO.,待核验(英文名),待核验,"英文名,需联网核验",规则推断·未核验
248,SUSTYLE,待核验(英文名),待核验,"英文名,需联网核验",规则推断·未核验
249,ZKHE,待核验(英文名),待核验,"英文名,需联网核验",规则推断·未核验
250,"OEMG,LISM",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
251,EARTH MAMA,待核验(英文名),待核验,"英文名,需联网核验",规则推断·未核验
252,DENTONSZHE,待核验(英文名),待核验,"英文名,需联网核验",规则推断·未核验
253,MAGT,待核验(英文名),待核验,"英文名,需联网核验",规则推断·未核验
254,AMATHLETE,待核验(英文名),待核验,"英文名,需联网核验",规则推断·未核验
255,十四代,非假洋牌(国产),低,需进一步核实,规则推断·未核验
256,"Reessy,TOMMY TRUCKER",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
257,"美浓烧,美濃焼",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
258,KK,疑似假洋牌(无元音),高,"无元音字母,高风险生造名",规则推断·未核验
259,Ehangy,待核验(英文名),待核验,"英文名,需联网核验",规则推断·未核验
260,ODYBIRD,待核验(英文名),待核验,"英文名,需联网核验",规则推断·未核验
261,DATALAND,待核验(英文名),待核验,"英文名,需联网核验",规则推断·未核验
262,Seiban,待核验(英文名),待核验,"英文名,需联网核验",规则推断·未核验
263,"四万十川,荣光芳春",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
264,EVERIO,待核验(英文名),待核验,"英文名,需联网核验",规则推断·未核验
265,oeim,待核验(英文名),待核验,"英文名,需联网核验",规则推断·未核验
266,"OEMG,OIMG",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
267,TJQ,疑似假洋牌(无元音),高,"无元音字母,高风险生造名",规则推断·未核验
268,"bb+ Baby Plus,WEMUG",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
269,PHILIP B,待核验(英文名),待核验,"英文名,需联网核验",规则推断·未核验
270,寧品匯,非假洋牌(国产),低,需进一步核实,规则推断·未核验
271,BOHEMIA,待核验(英文名),待核验,"英文名,需联网核验",规则推断·未核验
272,固洛克,非假洋牌(国产),低,需进一步核实,规则推断·未核验
273,GoldenGobi,待核验(英文名),待核验,"英文名,需联网核验",规则推断·未核验
274,"菊正宗,醉鲸",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
275,"黑牛（heiniu）,锅岛",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
276,Selmark,待核验(英文名),待核验,"英文名,需联网核验",规则推断·未核验
277,SOFI,待核验(英文名),待核验,"英文名,需联网核验",规则推断·未核验
278,SODASAN,待核验(英文名),待核验,"英文名,需联网核验",规则推断·未核验
279,"马爹利名士,轩尼诗",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
280,Sailwind,待核验(英文名),待核验,"英文名,需联网核验",规则推断·未核验
281,赞斯特,非假洋牌(国产),低,需进一步核实,规则推断·未核验
282,TPZBWG,真洋牌,低-中,"新加坡高端茶品,母国真实",已联网核验
283,Lululun,待核验(英文名),待核验,"英文名,需联网核验",规则推断·未核验
284,MOONY,待核验(英文名),待核验,"英文名,需联网核验",规则推断·未核验
285,"NEW MO,LEXILIS",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
286,"新发,NEW MO",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
287,DIFANPU,待核验(英文名),待核验,"英文名,需联网核验",规则推断·未核验
288,"OATSIDE,OATLY",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
289,蒙特斯（MONTES）,待核验(中英混合),待核验,"中英混合,通常为真品牌,需逐个搜索",规则推断·未核验
290,"AQUA BLOX,BLUE CAN",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
291,ZUV,待核验(英文名),待核验,"英文名,需联网核验",规则推断·未核验
292,"OEMG,柯准",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
293,KUNDAL,待核验(英文名),待核验,"英文名,需联网核验",规则推断·未核验
294,COOGI,待核验(英文名),待核验,"英文名,需联网核验",规则推断·未核验
295,"菊正宗,遊穗",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
296,SUNTTAUN,待核验(英文名),待核验,"英文名,需联网核验",规则推断·未核验
297,"切洛家族（BACCOLO）,星空莫斯卡托（Moscato d' Asti）",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
